fips,fmr0,fmr1,fmr2,fmr3,fmr4,Metro_code,areaname,State,county,CouSub,county_town_name,pop2000,countyname,state_alpha,fmr_type,metro
5100199999,343,469,528,642,790,NCNTY51001N51001,"Accomack County, VA",51,1,99999,Accomack County,38305,Accomack County,VA,40,0
5100399999,557,669,792,1026,1136,METRO16820M16820,"Charlottesville, VA MSA",51,3,99999,Albemarle County,79236,Albemarle County,VA,40,1
5100599999,326,418,502,610,636,NCNTY51005N51005,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmetro FMR Area",51,5,99999,Alleghany County,12926,Alleghany County,VA,40,0
5100799999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,7,99999,Amelia County,11400,Amelia County,VA,50,1
5100999999,450,461,556,686,765,METRO31340M31340,"Lynchburg, VA MSA",51,9,99999,Amherst County,31894,Amherst County,VA,40,1
5101199999,450,461,556,686,765,METRO31340M31340,"Lynchburg, VA MSA",51,11,99999,Appomattox County,13705,Appomattox County,VA,40,1
5101399999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,13,99999,Arlington County,189453,Arlington County,VA,50,1
5101599999,438,451,588,841,967,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",51,15,99999,Augusta County,65615,Augusta County,VA,40,0
5101799999,429,446,554,765,923,NCNTY51017N51017,"Bath County, VA",51,17,99999,Bath County,5048,Bath County,VA,40,0
5101999999,450,461,556,686,765,METRO31340M31340,"Lynchburg, VA MSA",51,19,99999,Bedford County,60371,Bedford County,VA,40,1
5102199999,418,433,502,640,711,NCNTY51021N51021,"Bland County, VA",51,21,99999,Bland County,6871,Bland County,VA,40,0
5102399999,446,474,613,778,849,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",51,23,99999,Botetourt County,30496,Botetourt County,VA,40,1
5102599999,431,445,519,647,896,NCNTY51025N51025,"Brunswick County, VA",51,25,99999,Brunswick County,18419,Brunswick County,VA,40,0
5102799999,418,433,502,640,711,NCNTY51027N51027,"Buchanan County, VA",51,27,99999,Buchanan County,26978,Buchanan County,VA,40,0
5102999999,418,451,502,645,816,NCNTY51029N51029,"Buckingham County, VA",51,29,99999,Buckingham County,15623,Buckingham County,VA,40,0
5103199999,450,461,556,686,765,METRO31340M31340,"Lynchburg, VA MSA",51,31,99999,Campbell County,51078,Campbell County,VA,40,1
5103399999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,33,99999,Caroline County,22121,Caroline County,VA,50,1
5103599999,417,453,502,602,669,NCNTY51035N51035,"Carroll County-Galax city, VA HUD Nonmetro FMR Area",51,35,99999,Carroll County,29245,Carroll County,VA,40,0
5103699999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,36,99999,Charles City County,6926,Charles City County,VA,50,1
5103799999,418,451,502,645,816,NCNTY51037N51037,"Charlotte County, VA",51,37,99999,Charlotte County,12472,Charlotte County,VA,40,0
5104199999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,41,99999,Chesterfield County,259903,Chesterfield County,VA,50,1
5104399999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,43,99999,Clarke County,12652,Clarke County,VA,50,1
5104599999,446,474,613,778,849,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",51,45,99999,Craig County,5091,Craig County,VA,40,1
5104799999,631,642,760,983,1044,NCNTY51047N51047,"Culpeper County, VA",51,47,99999,Culpeper County,34262,Culpeper County,VA,40,0
5104999999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,49,99999,Cumberland County,9017,Cumberland County,VA,50,1
5105199999,418,448,502,655,674,NCNTY51051N51051,"Dickenson County, VA",51,51,99999,Dickenson County,16395,Dickenson County,VA,40,0
5105399999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,53,99999,Dinwiddie County,24533,Dinwiddie County,VA,50,1
5105799999,404,499,614,836,861,NCNTY51057N51057,"Essex County, VA",51,57,99999,Essex County,9989,Essex County,VA,40,0
5105999999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,59,99999,Fairfax County,969749,Fairfax County,VA,50,1
5106199999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,61,99999,Fauquier County,55139,Fauquier County,VA,50,1
5106399999,461,502,556,773,979,NCNTY51063N51063,"Floyd County, VA",51,63,99999,Floyd County,13874,Floyd County,VA,40,0
5106599999,557,669,792,1026,1136,METRO16820M16820,"Charlottesville, VA MSA",51,65,99999,Fluvanna County,20047,Fluvanna County,VA,40,1
5106799999,326,390,502,600,640,METRO40220N51067,"Franklin County, VA HUD Metro FMR Area",51,67,99999,Franklin County,47286,Franklin County,VA,40,1
5106999999,491,510,673,929,956,METRO49020M49020,"Winchester, VA-WV MSA",51,69,99999,Frederick County,59209,Frederick County,VA,40,1
5107199999,327,424,502,640,883,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",51,71,99999,Giles County,16657,Giles County,VA,40,1
5107399999,700,735,844,1164,1458,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",51,73,99999,Gloucester County,34780,Gloucester County,VA,50,1
5107599999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,75,99999,Goochland County,16863,Goochland County,VA,50,1
5107799999,418,433,502,640,711,NCNTY51077N51077,"Grayson County, VA",51,77,99999,Grayson County,17917,Grayson County,VA,40,0
5107999999,557,669,792,1026,1136,METRO16820M16820,"Charlottesville, VA MSA",51,79,99999,Greene County,15244,Greene County,VA,40,1
5108199999,432,469,520,628,780,NCNTY51081N51081,"Greensville County-Emporia city, VA HUD Nonmetro FMR Area",51,81,99999,Greensville County,11560,Greensville County,VA,40,0
5108399999,326,453,502,674,882,NCNTY51083N51083,"Halifax County, VA",51,83,99999,Halifax County,37355,Halifax County,VA,40,0
5108599999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,85,99999,Hanover County,86320,Hanover County,VA,50,1
5108799999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,87,99999,Henrico County,262300,Henrico County,VA,50,1
5108999999,387,403,502,644,737,NCNTY51089N51089,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",51,89,99999,Henry County,57930,Henry County,VA,40,0
5109199999,429,446,554,765,923,NCNTY51091N51091,"Highland County, VA",51,91,99999,Highland County,2536,Highland County,VA,40,0
5109399999,700,735,844,1164,1458,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",51,93,99999,Isle of Wight County,29728,Isle of Wight County,VA,50,1
5109599999,700,735,844,1164,1458,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",51,95,99999,James City County,48102,James City County,VA,50,1
5109799999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,97,99999,King and Queen County,6630,King and Queen County,VA,50,1
5109999999,636,637,766,1114,1147,NCNTY51099N51099,"King George County, VA",51,99,99999,King George County,16803,King George County,VA,40,0
5110199999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,101,99999,King William County,13146,King William County,VA,50,1
5110399999,403,496,604,743,800,NCNTY51103N51103,"Lancaster County, VA",51,103,99999,Lancaster County,11567,Lancaster County,VA,40,0
5110599999,325,393,502,645,683,NCNTY51105N51105,"Lee County, VA",51,105,99999,Lee County,23589,Lee County,VA,40,0
5110799999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,107,99999,Loudoun County,169599,Loudoun County,VA,50,1
5110999999,462,524,597,714,735,METRO40060N51109,"Louisa County, VA HUD Metro FMR Area",51,109,99999,Louisa County,25627,Louisa County,VA,40,1
5111199999,431,445,519,647,896,NCNTY51111N51111,"Lunenburg County, VA",51,111,99999,Lunenburg County,13146,Lunenburg County,VA,40,0
5111399999,443,494,597,826,853,NCNTY51113N51113,"Madison County, VA",51,113,99999,Madison County,12520,Madison County,VA,40,0
5111599999,700,735,844,1164,1458,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",51,115,99999,Mathews County,9207,Mathews County,VA,50,1
5111799999,329,410,506,621,828,NCNTY51117N51117,"Mecklenburg County, VA",51,117,99999,Mecklenburg County,32380,Mecklenburg County,VA,40,0
5111999999,403,496,604,736,800,NCNTY51119N51119,"Middlesex County, VA",51,119,99999,Middlesex County,9932,Middlesex County,VA,40,0
5112199999,488,534,598,820,1051,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",51,121,99999,Montgomery County,83629,Montgomery County,VA,40,1
5112599999,557,669,792,1026,1136,METRO16820M16820,"Charlottesville, VA MSA",51,125,99999,Nelson County,14445,Nelson County,VA,40,1
5112799999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,127,99999,New Kent County,13462,New Kent County,VA,50,1
5113199999,403,496,604,736,800,NCNTY51131N51131,"Northampton County, VA",51,131,99999,Northampton County,13093,Northampton County,VA,40,0
5113399999,403,496,604,736,800,NCNTY51133N51133,"Northumberland County, VA",51,133,99999,Northumberland County,12259,Northumberland County,VA,40,0
5113599999,418,451,502,713,816,NCNTY51135N51135,"Nottoway County, VA",51,135,99999,Nottoway County,15725,Nottoway County,VA,40,0
5113799999,403,554,617,898,1083,NCNTY51137N51137,"Orange County, VA",51,137,99999,Orange County,25881,Orange County,VA,40,0
5113999999,340,397,521,672,692,NCNTY51139N51139,"Page County, VA",51,139,99999,Page County,23177,Page County,VA,40,0
5114199999,416,453,502,622,641,NCNTY51141N51141,"Patrick County, VA",51,141,99999,Patrick County,19407,Patrick County,VA,40,0
5114399999,353,405,523,652,700,METRO19260M19260,"Danville, VA MSA",51,143,99999,Pittsylvania County,61745,Pittsylvania County,VA,40,1
5114599999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,145,99999,Powhatan County,22377,Powhatan County,VA,50,1
5114799999,487,488,587,703,940,NCNTY51147N51147,"Prince Edward County, VA",51,147,99999,Prince Edward County,19720,Prince Edward County,VA,40,0
5114999999,651,705,788,1051,1255,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",51,149,99999,Prince George County,33047,Prince George County,VA,50,1
5115399999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,153,99999,Prince William County,280813,Prince William County,VA,50,1
5115599999,381,403,502,719,773,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",51,155,99999,Pulaski County,35127,Pulaski County,VA,40,1
5115799999,443,494,597,826,853,NCNTY51157N51157,"Rappahannock County, VA",51,157,99999,Rappahannock County,6983,Rappahannock County,VA,40,0
5115999999,403,496,604,736,800,NCNTY51159N51159,"Richmond County, VA",51,159,99999,Richmond County,8809,Richmond County,VA,40,0
5116199999,446,474,613,778,849,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",51,161,99999,Roanoke County,85778,Roanoke County,VA,40,1
5116399999,401,451,502,731,881,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",51,163,99999,Rockbridge County,20808,Rockbridge County,VA,40,0
5116599999,451,501,610,855,878,METRO25500M25500,"Harrisonburg, VA MSA",51,165,99999,Rockingham County,67725,Rockingham County,VA,40,1
5116799999,327,434,502,614,634,NCNTY51167N51167,"Russell County, VA",51,167,99999,Russell County,30308,Russell County,VA,40,0
5116999999,376,404,502,673,804,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",51,169,99999,Scott County,23403,Scott County,VA,40,1
5117199999,414,443,542,723,801,NCNTY51171N51171,"Shenandoah County, VA",51,171,99999,Shenandoah County,35075,Shenandoah County,VA,40,0
5117399999,415,451,502,638,825,NCNTY51173N51173,"Smyth County, VA",51,173,99999,Smyth County,33081,Smyth County,VA,40,0
5117599999,363,502,557,689,980,NCNTY51175N51175,"Southampton County-Franklin city, VA HUD Nonmetro FMR Area",51,175,99999,Southampton County,17482,Southampton County,VA,40,0
5117799999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,177,99999,Spotsylvania County,90395,Spotsylvania County,VA,50,1
5117999999,995,1134,1286,1659,2171,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",51,179,99999,Stafford County,92446,Stafford County,VA,50,1
