cbsnmcnm,cntyname,pha,state,county,zip,fmr0,fmr1,fmr2,fmr3,fmr4
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90802,730,890,1160,1590,1780
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90803,940,1150,1500,2060,2300
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90804,810,1000,1300,1780,2000
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90805,760,940,1220,1670,1870
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90806,740,910,1180,1620,1810
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90807,860,1050,1370,1880,2100
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90808,1010,1240,1610,2210,2470
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90810,740,910,1180,1620,1810
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90813,690,840,1100,1510,1690
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90815,1100,1340,1750,2400,2690
"Los Angeles-Long Beach-Santa Ana, CA MSA",Los Angeles County,The Housing Authority of the City of Long Beach,06,037,90822,860,1060,1380,1890,2120
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60004,870,990,1170,1490,1740
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60005,790,890,1060,1350,1580
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60006,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60007,760,870,1030,1310,1530
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60008,820,940,1110,1420,1650
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60009,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60010,1070,1210,1440,1840,2140
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60011,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60016,760,860,1020,1300,1520
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60017,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60018,650,730,870,1110,1290
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60022,980,1110,1320,1680,1960
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60025,820,940,1110,1420,1650
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60026,970,1100,1300,1660,1930
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60029,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60043,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60053,850,960,1140,1450,1690
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60056,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60062,920,1050,1240,1580,1840
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60065,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60067,860,980,1160,1480,1720
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60068,890,1010,1200,1530,1780
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60070,760,860,1020,1300,1520
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60074,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60076,880,1000,1180,1500,1750
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60077,810,920,1090,1390,1620
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60078,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60089,970,1100,1310,1670,1950
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60090,790,890,1060,1350,1580
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60091,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60093,1050,1200,1420,1810,2110
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60103,910,1040,1230,1570,1830
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60104,720,820,970,1240,1440
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60107,1090,1240,1470,1870,2180
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60120,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60130,710,800,950,1210,1410
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60131,620,700,830,1060,1230
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60133,770,880,1040,1330,1550
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60141,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60153,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60154,980,1110,1320,1680,1960
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60155,620,700,830,1060,1230
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60159,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60160,650,730,870,1110,1290
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60161,730,830,980,1250,1460
"Chicago-Joliet-Naperville, IL-IN-WI MSA",Cook County,The Housing Authority of the County of Cook,17,031,60162,630,720,850,1080,1260
